150,150
57,128	57,129	127,133	128,133	58,129	127,134	128,134	58,128	58,130	57,130
86,84	83,86	85,85	85,86	84,86	86,86	86,85	83,85	85,84	84,85
36,70	34,68	35,68	35,71	35,70	34,70	34,69	35,69	34,71	36,71
94,138	16,33	17,32	17,34	17,33	18,33	16,32	93,139	94,140	94,139
26,141	24,140	25,140	25,142	25,141	98,28	99,29	24,141	98,29	97,29
99,57	99,58	100,57	12,102	12,103	12,101	101,57	100,56	11,103	11,102
34,5	33,4	34,3	35,3	129,22	130,21	34,4	35,5	33,5	35,4
24,100	109,53	23,101	109,52	108,53	109,54	108,54	25,101	24,101	23,100
69,39	69,38	32,131	32,132	68,39	41,50	42,49	41,49	33,131	33,132
73,143	74,143	124,69	74,145	73,145	124,70	73,144	76,144	75,144	74,144
