100,100
79,68	78,66	78,67	6,27	79,67	78,68	7,27	5,28	6,28	7,28
56,33	55,33	13,34	97,99	57,32	13,35	14,36	14,35	55,32	56,32
32,71	68,81	32,70	69,81	70,80	31,71	67,81	31,70	69,80	68,80
99,52	70,32	98,52	99,51	100,52	69,32	68,33	99,53	69,34	69,33
77,13	77,12	56,31	56,30	78,12	78,13	56,29	78,14	55,30	57,30
88,18	88,16	89,19	89,16	87,17	87,16	87,18	88,17	89,18	89,17
19,33	18,33	17,33	17,34	15,34	17,35	18,34	16,33	18,32	16,34
79,25	80,25	78,26	0,100	78,28	77,27	78,27	79,26	79,27	80,26
7,4	24,100	23,100	24,99	5,4	6,4	23,99	5,3	22,100	6,3
34,17	34,16	83,56	83,57	34,15	33,16	33,17	84,57	84,56	35,14
