100,100
70,68	21,54	21,53	69,69	22,54	22,53	98,80	69,68	69,67	4,33	97,80	68,68	98,79	27,39	5,33	5,34	97,78	4,34	3,33	98,78
70,16	10,76	11,76	71,16	71,15	72,14	30,61	10,75	71,14	11,77	70,15	29,61	28,62	70,14	28,61	29,62	10,77	71,13	11,75	72,15
84,90	84,91	82,92	40,6	19,50	39,8	84,92	18,52	40,7	40,8	19,52	20,51	20,52	83,91	18,51	19,51	41,7	83,92	20,50	41,6
7,62	37,67	9,63	9,61	35,66	35,67	8,60	36,67	36,68	35,65	9,62	8,62	8,63	8,61	36,66	18,22	36,65	37,65	35,64	37,66
77,23	17,90	79,21	84,94	79,22	78,23	79,23	86,93	86,94	87,94	78,21	79,24	84,93	78,24	85,93	85,94	77,21	16,90	77,22	78,22
11,89	11,90	10,90	72,70	72,31	12,89	70,33	74,71	72,30	72,72	72,71	73,71	72,32	73,70	73,72	71,32	12,90	70,32	70,31	71,31
58,13	57,13	6,17	5,17	31,68	5,18	6,18	61,71	62,69	62,70	61,69	30,68	29,68	31,69	29,69	61,70	57,14	58,14	62,71	30,69
51,19	49,19	41,61	42,60	50,18	41,60	49,18	39,60	50,19	17,98	18,98	51,18	18,99	17,99	50,17	39,61	17,100	40,61	18,100	40,60
38,21	38,22	12,65	40,22	13,21	40,21	14,19	13,66	15,19	15,20	37,22	12,66	13,67	12,67	11,66	9,8	14,21	39,21	39,22	13,20
35,60	37,63	36,60	36,61	15,59	91,86	37,60	16,59	92,86	16,58	91,84	36,63	37,62	36,62	92,84	90,85	37,61	15,58	92,85	91,85
