150,150
142,0	143,0	130,133	144,0	57,131	129,134	130,134	142,1	58,130	57,130
112,139	114,140	113,138	114,138	113,139	73,72	114,139	74,73	113,140	74,72
137,43	136,43	138,43	68,15	68,16	69,16	138,44	137,44	68,17	67,16
3,149	95,8	96,7	4,149	95,7	3,150	94,8	4,150	5,150	94,7
33,145	101,86	35,144	35,145	34,144	102,85	34,145	103,85	101,85	102,86
35,18	36,20	148,84	37,19	35,19	36,19	35,20	36,18	150,84	149,84
107,122	106,121	68,60	106,123	68,61	69,61	105,122	106,122	105,121	69,60
76,20	147,139	76,22	75,21	77,19	76,21	77,20	148,140	77,22	77,21
22,19	24,19	22,20	57,116	57,115	23,19	150,2	23,20	58,116	58,115
47,67	47,69	47,66	47,68	48,66	48,68	33,108	46,67	46,69	46,68
