200,200
52,148	197,198	64,55	62,56	63,56	63,54	62,55	51,34	64,56	51,33	65,56	51,35	63,55	53,148	200,115	53,147	120,198	50,33	154,43	154,44
156,179	90,166	7,69	5,70	174,79	176,78	175,79	89,165	5,69	186,78	90,167	174,80	156,180	6,70	176,79	156,177	155,178	90,165	89,166	175,80
22,67	193,2	158,87	69,191	178,111	159,87	195,149	21,66	196,149	71,192	70,191	158,88	71,191	195,150	196,150	21,67	157,88	21,65	20,66	70,190
25,186	26,184	111,142	112,143	184,60	111,143	26,185	171,11	184,59	183,59	26,186	26,183	170,11	27,185	25,184	171,10	170,10	25,185	111,144	184,58
169,101	25,145	24,147	24,148	82,35	26,145	25,146	170,101	25,147	171,101	82,36	83,36	171,102	172,102	81,35	26,146	170,102	24,146	83,37	169,100
28,125	145,68	145,69	29,124	28,124	3,3	146,69	29,125	26,125	144,68	27,124	146,70	28,123	126,177	126,176	125,176	27,123	26,124	27,126	27,125
50,156	158,60	85,82	20,105	114,32	115,33	18,104	157,60	19,105	19,104	157,61	49,157	114,33	20,103	87,82	86,82	20,104	85,81	158,61	86,81
3,4	97,54	4,200	98,56	169,82	3,3	98,54	168,82	99,55	169,83	98,55	169,81	100,54	170,82	173,32	97,55	99,54	2,3	174,32	170,81
174,179	163,121	47,175	48,174	172,181	173,180	164,120	164,121	138,17	49,175	48,175	174,180	47,174	137,19	164,122	137,18	163,120	138,18	138,19	137,17
133,70	132,71	134,71	155,33	157,34	133,71	133,73	134,73	131,71	156,34	131,72	156,33	133,72	130,72	132,72	133,74	132,73	11,196	134,70	134,72
