150,150
25,4	19,99	18,99	138,64	137,64	22,4	52,29	52,30	51,30	23,4	22,3	51,31	138,63	18,100	24,3	22,5	52,31	139,62	19,100	138,62	20,18	137,63	19,17	19,18	139,63	51,29	23,5	23,2	23,3	24,4
31,70	64,63	123,12	64,62	125,11	63,64	124,11	114,54	62,62	116,54	65,63	115,53	63,149	125,10	114,53	114,52	32,71	62,63	115,52	124,10	63,62	64,64	65,62	63,63	63,148	63,150	64,149	64,148	31,71	64,150
129,98	62,128	61,97	61,98	60,98	109,76	59,98	102,109	129,97	109,75	62,129	130,97	63,130	101,108	130,96	63,128	36,123	60,99	128,98	63,129	129,96	102,108	35,123	64,129	35,124	0,0	34,123	108,75	64,128	34,124
87,130	6,136	73,93	5,135	102,72	72,91	6,135	101,73	5,136	132,102	131,102	72,93	72,92	4,136	73,92	4,135	131,101	3,135	4,137	136,81	88,131	131,103	100,73	100,72	101,72	102,73	88,130	89,130	87,131	24,36
10,129	126,29	144,149	99,32	125,30	125,31	124,31	126,30	98,31	126,31	9,129	9,127	9,128	99,31	101,31	127,30	125,29	100,33	10,128	100,31	126,32	125,32	10,127	101,33	11,128	101,32	100,32	127,31	99,33	11,129
100,32	50,83	101,32	25,35	24,35	108,78	92,101	91,101	140,90	18,106	25,34	101,31	65,131	49,82	65,130	49,83	109,76	50,82	109,77	108,77	141,89	141,90	109,78	140,89	64,131	100,31	24,34	24,36	19,106	147,149
2,61	1,61	3,75	3,76	70,91	4,74	23,8	117,117	51,14	2,60	71,91	50,14	2,76	3,73	23,9	4,75	118,118	3,74	4,73	72,92	71,92	70,92	24,7	24,8	72,93	51,13	49,14	2,75	50,13	49,13
71,69	110,10	71,3	71,2	72,2	109,64	109,65	102,110	110,64	125,19	124,19	70,68	70,67	102,111	109,11	69,68	111,65	126,20	69,67	110,11	70,69	126,18	110,65	125,18	72,3	125,20	126,19	125,17	71,1	109,10
60,0	93,56	94,56	143,76	61,29	48,129	111,122	58,2	2,77	142,76	111,9	59,0	61,30	60,30	111,121	59,2	48,130	60,2	59,1	49,129	58,3	143,77	112,121	142,77	49,130	59,3	112,10	112,9	60,1	60,3
87,38	74,78	39,121	88,37	74,75	87,39	88,39	129,17	73,76	38,121	37,121	86,39	73,77	72,77	128,17	127,19	75,76	38,120	136,78	127,17	72,76	128,16	88,38	129,16	72,75	128,18	127,18	126,18	74,76	74,77
