200,200
44,34	44,35	43,34	49,133	43,36	44,36	42,36	50,133	178,148	43,35
19,191	146,95	145,95	18,191	146,96	18,192	117,131	118,131	17,192	17,191
7,200	16,3	174,100	176,99	17,4	117,82	116,82	174,99	175,99	16,4
192,191	186,23	135,1	184,23	185,23	185,22	135,0	134,0	26,162	184,22
192,200	193,199	33,163	97,6	97,7	96,7	193,200	96,6	34,165	33,164
87,151	10,47	87,149	86,151	87,150	86,150	197,3	10,46	86,149	88,150
200,196	199,196	102,27	98,112	102,28	99,112	99,113	101,28	200,197	100,28
26,168	26,166	26,167	27,168	195,78	195,79	194,79	27,167	27,166	194,78
158,83	158,82	159,81	6,4	14,158	199,199	159,82	14,157	15,158	158,81
82,11	27,194	142,199	84,10	156,83	156,84	83,11	83,10	82,10	27,195
