100,100
9,3	91,89	9,6	12,71	10,5	11,4	10,3	9,5	12,72	11,71	92,89	11,72	12,73	11,73	90,90	11,5	92,90	91,90	10,4	9,4
89,78	90,77	29,12	42,76	42,78	41,76	41,77	41,78	90,78	42,79	27,12	42,77	41,79	28,10	89,77	28,12	28,11	40,78	29,11	40,77
77,80	60,27	40,59	42,60	61,27	78,81	41,59	5,13	41,61	40,60	4,12	4,11	77,81	5,12	40,61	78,80	78,79	4,13	5,11	41,60
10,36	10,38	47,16	46,16	44,100	69,4	11,36	11,37	11,39	69,3	46,15	47,15	28,17	10,37	70,3	45,100	45,99	11,38	44,99	70,4
46,4	47,4	42,47	43,48	46,5	17,45	2,30	47,5	46,6	18,46	17,46	43,46	42,48	18,45	3,30	98,99	43,47	2,29	3,29	47,6
8,98	82,72	6,97	49,24	65,66	65,65	82,74	83,73	82,73	66,65	6,98	66,66	49,25	50,24	7,98	83,74	50,25	50,23	7,97	49,23
46,58	6,69	88,38	95,89	6,68	43,16	89,39	90,39	7,69	45,58	42,17	43,18	88,39	43,17	42,18	90,40	88,40	45,59	89,40	46,59
92,2	91,1	90,0	91,2	79,84	89,1	90,2	79,85	78,85	13,88	92,3	79,83	78,84	12,87	91,3	13,87	12,88	90,1	91,0	92,1
47,100	48,100	48,99	72,59	1,3	89,15	47,99	73,57	97,62	89,14	97,63	72,57	98,62	98,63	72,56	88,14	88,15	73,58	73,59	72,58
7,43	7,45	7,44	1,88	1,87	2,87	0,88	17,87	0,87	17,86	59,90	2,88	19,86	18,86	18,87	58,90	58,89	8,43	15,85	16,86
