100,100
71,85	18,56	17,57	69,85	70,84	17,56	70,86	70,85	71,84	18,57
62,11	61,12	11,43	61,11	12,45	11,44	11,45	12,43	12,44	62,12
99,17	98,16	99,16	7,5	98,17	100,17	9,4	7,4	8,4	8,5
57,11	57,12	88,88	56,12	58,12	58,11	88,87	56,11	87,87	87,88
96,28	97,28	97,29	96,29	96,30	86,5	97,30	85,5	85,4	86,4
68,9	77,68	68,10	68,8	66,9	67,10	66,8	78,69	67,9	67,8
37,88	24,84	24,86	25,84	27,85	24,85	26,84	25,86	26,85	25,85
85,42	85,40	94,67	85,41	86,42	86,41	87,41	87,42	86,40	94,66
23,90	21,91	23,91	20,91	22,90	20,90	22,91	23,89	22,89	21,90
8,32	91,95	7,31	90,94	91,94	90,95	8,31	8,30	91,96	9,31
