100,100
42,45	8,90	12,89	21,52	22,52	77,87	21,54	12,90	10,88	77,88	76,48	76,47	22,54	9,90	20,53	22,53	78,88	76,87	7,89	23,53	9,89	10,90	11,89	8,89	10,89	11,90	78,87	75,47	21,53	76,88
12,40	18,29	11,42	18,30	19,11	77,45	12,41	52,65	18,11	17,30	77,46	86,72	18,31	79,45	53,65	53,64	52,64	11,40	87,70	78,46	85,71	12,42	86,70	78,45	87,72	17,29	87,71	86,71	18,12	11,41
41,48	58,75	19,71	19,72	17,72	18,72	57,75	59,75	59,74	89,13	41,47	88,15	57,74	86,36	88,13	39,47	17,73	86,35	87,36	18,71	39,48	19,73	18,73	58,74	89,14	88,14	40,48	40,47	89,15	87,35
9,22	84,81	12,7	9,21	85,81	8,21	86,81	85,80	8,22	49,40	66,38	44,15	12,6	67,39	52,35	13,7	13,6	51,35	51,34	84,80	44,16	9,23	66,39	52,34	43,15	43,16	48,39	48,40	67,38	86,80
94,87	7,70	8,70	82,63	12,25	13,26	12,26	58,37	7,71	13,24	14,25	11,27	14,26	93,87	13,25	82,64	81,64	12,27	83,64	83,63	79,21	80,21	94,88	83,65	82,65	93,88	79,22	80,22	81,22	11,26
68,31	5,66	47,26	69,31	90,49	91,50	91,49	46,26	6,65	90,47	5,65	92,49	68,30	67,30	0,0	70,29	67,29	46,27	69,29	69,30	70,30	91,48	47,28	46,28	6,66	5,67	47,27	90,50	68,29	90,48
36,86	85,6	84,5	37,86	86,4	86,6	37,84	85,9	86,5	90,48	36,83	92,50	37,85	85,5	14,45	85,8	36,85	92,47	92,49	86,9	86,7	86,8	92,48	91,48	36,84	15,46	15,45	91,50	91,49	85,7
22,95	2,44	41,62	1,44	98,98	46,53	23,95	100,98	98,97	56,67	55,67	1,43	47,53	42,62	47,54	55,68	41,61	40,61	56,68	40,62	100,97	2,43	46,54	22,93	21,94	42,61	22,94	23,94	99,98	99,97
9,45	9,44	30,78	31,81	30,77	31,79	30,79	30,26	32,79	29,25	87,97	8,43	30,25	88,98	88,97	87,95	87,96	31,26	9,43	88,95	31,78	30,80	29,26	88,96	32,80	32,81	31,25	31,80	8,44	29,78
37,31	95,6	35,30	95,5	21,97	20,97	94,7	68,40	20,98	70,39	69,40	69,39	70,40	69,41	68,39	94,5	3,73	96,6	95,7	70,41	35,32	36,32	35,31	4,74	36,31	61,93	94,6	4,73	36,30	71,40
