200,200
154,42	195,117	178,196	75,32	196,117	76,31	1,118	153,41	178,195	76,32	77,159	77,160	76,158	178,194	0,2	76,159	155,42	77,158	154,43	153,42
156,57	30,109	31,110	138,189	86,7	23,79	140,189	138,188	139,190	139,188	30,110	86,8	85,8	30,111	156,58	24,79	157,58	139,189	31,111	155,58
65,101	187,7	40,56	39,55	40,55	143,100	187,6	143,99	42,56	41,56	9,2	41,55	66,100	187,5	144,100	186,7	40,54	8,1	8,2	65,100
155,36	101,88	104,146	103,146	155,37	154,37	154,36	127,36	126,36	156,36	124,35	100,90	100,89	4,193	101,89	1,1	4,192	127,37	125,36	124,36
5,35	8,198	52,98	53,97	136,34	189,142	53,96	137,34	136,35	140,66	52,97	128,132	190,142	5,36	140,67	4,36	4,37	139,66	129,131	140,65
9,143	196,198	197,14	197,15	46,44	46,43	11,143	10,144	10,143	61,169	46,42	60,168	62,169	122,21	45,44	10,142	123,21	61,168	9,142	45,43
169,185	108,96	108,97	64,0	168,185	64,193	107,96	167,185	63,193	17,64	161,25	17,63	191,68	161,24	108,95	162,24	18,63	190,67	109,96	190,68
58,128	121,29	161,178	59,128	159,178	199,100	159,179	200,13	57,128	200,12	120,29	199,12	2,193	10,6	11,6	160,179	58,129	160,178	57,129	161,179
123,192	162,128	68,200	73,71	73,70	73,69	74,70	144,2	14,74	12,75	124,192	69,198	69,199	162,127	68,199	13,74	72,71	69,200	13,75	198,54
55,113	55,115	77,19	22,99	21,98	77,20	162,45	13,200	163,44	55,114	163,46	78,19	78,20	54,114	163,45	164,45	149,140	147,140	147,141	148,141
