150,150
57,129	58,129	76,149	56,129	56,130	69,7	68,7	57,131	58,130	57,130
145,135	74,19	22,92	22,93	144,135	74,20	22,94	23,92	23,93	75,20
33,14	65,148	33,15	66,149	32,13	65,149	65,150	149,1	33,13	32,14
9,27	134,44	5,149	10,27	134,45	134,46	133,44	135,45	135,47	135,46
47,81	5,142	46,82	6,142	48,82	47,82	69,131	69,132	47,83	70,132
19,146	18,148	116,28	115,29	115,28	1,1	19,147	116,29	18,147	17,147
68,15	20,84	68,128	69,128	70,128	69,127	67,14	67,13	20,85	67,15
75,62	5,37	6,37	74,60	75,60	74,62	75,59	147,150	75,61	74,61
6,1	5,1	122,58	4,1	5,2	4,0	123,57	122,57	123,58	123,59
127,114	127,113	8,5	126,112	127,112	128,112	126,113	126,114	128,114	128,113
