100,100
92,12	93,12	94,13	92,13	93,13	10,3	9,3	94,12	10,4	9,4
78,99	55,10	78,98	55,9	76,99	54,10	54,9	77,99	77,98	76,98
93,15	41,55	94,16	94,15	95,16	41,54	42,55	93,16	95,15	42,54
31,40	31,38	33,40	32,38	32,39	33,38	32,40	30,39	31,39	33,39
77,2	76,2	66,37	75,3	78,2	77,4	77,1	77,3	76,3	76,4
18,72	18,73	14,29	13,27	15,28	17,73	17,72	14,27	14,28	13,28
93,8	94,8	94,6	93,6	92,7	94,5	94,7	92,9	93,7	92,8
78,70	77,70	59,80	78,69	22,61	59,79	77,69	47,23	48,23	48,22
45,25	46,23	44,24	78,64	44,23	44,25	78,65	45,24	45,23	46,24
95,61	95,60	96,61	93,60	96,60	97,61	94,61	94,60	96,62	97,60
