150,150
63,36	130,136	17,38	19,38	63,35	129,134	128,134	118,9	18,38	62,35	116,82	130,135	116,81	38,130	118,7	131,135	129,135	39,129	38,129	39,130	4,87	118,8	40,129	119,8	129,136	40,130	18,37	130,134	127,134	19,37
0,0	129,34	129,35	45,92	106,117	127,35	130,36	45,37	130,34	60,141	134,3	131,33	46,92	133,3	60,142	128,35	59,141	59,142	106,115	41,149	131,35	42,148	131,34	56,1	42,149	130,35	106,116	105,116	45,93	46,93
100,116	99,117	24,45	127,2	104,47	104,48	26,43	144,86	99,116	126,2	127,4	144,85	144,87	144,84	145,86	100,117	128,3	103,47	101,116	58,81	23,44	105,47	25,44	103,48	126,3	26,44	127,3	59,81	7,148	24,44
41,135	41,136	40,135	82,39	103,102	140,1	140,0	85,14	141,0	40,136	21,118	86,15	83,40	0,4	85,15	150,129	20,118	1,4	21,117	81,40	19,118	102,103	20,117	81,39	19,117	98,72	20,116	150,131	83,39	82,40
1,70	70,4	76,144	3,7	76,69	76,70	67,4	51,76	123,149	69,5	141,91	75,144	141,92	49,25	69,4	48,25	142,91	68,4	142,92	75,143	6,131	7,131	51,75	75,142	50,76	76,143	77,69	122,150	77,70	49,26
50,39	50,38	90,122	93,78	93,77	51,39	4,2	139,13	92,78	48,38	137,84	50,40	138,84	138,86	138,85	92,123	49,39	92,77	2,117	90,123	91,122	137,86	91,123	49,37	3,117	93,76	137,85	140,13	140,14	49,38
132,104	135,102	134,102	33,96	8,88	33,95	113,137	9,87	9,88	133,104	146,22	34,95	146,21	34,96	115,137	132,103	9,90	114,137	134,103	133,103	115,136	114,136	8,90	7,2	134,104	135,103	113,136	9,89	8,87	8,89
118,110	107,134	72,86	108,134	72,84	144,149	109,134	120,109	33,78	146,149	145,149	147,149	118,108	34,78	107,133	108,133	33,79	34,79	145,150	71,86	72,85	146,147	146,148	118,109	72,87	119,109	119,110	35,80	71,85	35,79
45,102	129,20	44,103	129,21	46,103	7,40	120,128	132,21	43,103	46,102	25,113	119,127	131,20	130,20	124,57	45,103	50,0	42,104	24,114	119,128	25,114	125,57	130,21	44,105	44,104	46,101	43,104	45,104	131,21	124,56
6,132	84,84	81,10	149,94	83,82	83,83	148,8	82,83	80,10	84,82	149,93	83,84	6,133	116,45	7,133	116,46	80,9	4,133	81,83	81,9	81,84	84,83	5,134	148,93	148,94	80,83	5,133	12,23	4,134	11,23
