200,200
65,46	88,184	67,46	65,45	66,46	111,171	16,61	15,61	110,171	68,46
5,2	156,55	3,181	3,180	186,171	157,57	3,179	4,180	157,55	156,56
107,52	107,51	196,5	108,51	196,3	108,52	109,52	196,4	107,53	109,51
168,81	167,81	60,27	167,82	60,28	61,27	60,25	60,26	59,25	168,82
198,199	198,200	31,9	32,9	3,75	2,76	1,75	32,8	1,76	2,75
59,0	60,1	196,187	196,188	60,3	59,1	58,2	59,2	57,1	58,0
182,196	19,6	181,195	117,130	115,130	116,130	181,196	116,129	117,129	180,196
9,57	69,10	70,10	151,140	6,199	150,140	10,56	10,57	69,9	70,9
144,59	141,157	145,59	142,157	141,156	141,158	142,158	140,158	145,60	8,23
5,196	192,24	107,149	191,24	107,150	190,24	106,150	6,196	197,196	119,100
