200,200
3,144	70,39	197,175	76,157	16,60	71,38	196,175	4,144	189,80	4,143	77,159	197,173	76,158	184,1	196,174	76,159	16,61	15,61	70,38	196,176
81,18	0,198	47,18	47,17	48,17	151,23	80,18	151,24	179,156	151,25	46,18	150,24	80,19	49,17	81,19	82,18	178,156	48,18	179,157	178,157
197,148	195,6	51,165	114,14	195,150	54,163	52,165	52,164	197,147	52,167	196,150	52,166	196,149	53,164	197,149	197,5	195,149	51,166	50,167	196,148
5,87	5,86	107,130	53,78	171,13	172,14	2,200	53,77	180,156	52,77	97,3	179,156	6,87	178,157	3,200	178,158	3,199	179,157	2,199	107,129
153,13	56,71	151,14	152,13	68,19	55,71	66,135	54,69	56,70	198,193	54,70	68,135	66,134	151,13	55,69	68,20	55,70	56,72	67,19	67,135
18,78	38,20	60,159	61,159	55,85	62,159	195,188	56,85	18,76	39,20	38,19	192,93	37,19	191,93	37,18	62,158	38,18	39,19	195,189	18,77
32,102	171,157	32,101	170,157	148,12	152,43	171,156	151,41	151,42	152,42	25,29	26,29	149,12	147,13	149,13	33,102	171,158	17,198	25,30	26,30
35,182	8,104	196,31	8,103	35,183	9,104	9,103	34,183	83,57	36,183	85,57	84,57	200,144	120,4	135,198	121,4	200,143	195,30	196,30	200,142
13,45	110,110	12,46	110,111	11,46	12,48	111,111	7,123	140,85	13,47	13,46	112,111	7,124	12,47	196,1	6,124	139,85	139,84	112,112	138,85
123,85	82,194	124,85	198,80	6,66	7,65	7,67	124,87	199,81	179,9	179,8	81,194	6,67	124,84	7,66	198,81	8,67	125,86	124,86	198,187
