100,100
7,29	5,28	8,28	6,29	6,27	7,27	5,29	7,26	6,28	7,28
95,31	95,30	96,31	26,98	96,32	95,32	27,98	25,98	25,99	26,99
94,90	94,89	95,92	94,91	96,91	96,92	95,91	95,90	95,89	95,88
11,74	12,76	13,75	13,76	12,73	12,74	11,75	11,73	2,42	12,75
60,31	57,32	58,30	58,31	60,29	60,30	58,32	59,30	57,31	59,31
74,1	74,3	76,3	1,99	76,1	75,3	74,2	76,2	75,2	75,1
24,26	23,29	24,29	23,26	22,27	24,27	24,28	22,28	23,28	23,27
27,22	25,22	26,23	25,23	24,22	25,21	25,20	26,21	26,22	24,21
20,76	19,76	21,77	19,79	19,77	21,76	20,75	19,78	20,77	20,78
15,77	57,43	55,42	16,78	57,42	56,44	55,43	56,42	55,44	56,43
