200,200
22,192	185,35	184,35	23,191	176,143	176,142	22,191	23,193	24,192	23,192
14,26	55,177	13,25	12,26	12,25	56,177	55,178	13,27	56,178	13,26
199,2	78,93	75,94	77,93	76,94	77,95	76,93	76,95	77,94	75,93
199,29	117,194	200,27	200,28	200,29	199,28	1,190	116,195	117,195	118,194
54,160	55,159	193,20	54,161	53,161	53,159	52,160	52,159	53,160	194,19
174,127	175,126	175,125	193,103	191,101	174,126	176,126	192,102	174,124	192,103
161,60	163,60	68,154	51,24	69,154	51,23	50,23	162,60	50,24	69,153
179,197	86,173	87,173	164,1	165,1	165,0	179,197	178,197	164,0	86,172
70,9	184,91	71,8	157,150	157,149	2,194	155,149	155,150	156,150	156,149
166,115	8,107	165,116	164,115	165,115	7,106	8,106	8,108	9,108	9,107
