150,150
111,92	112,92	138,63	138,64	110,92	118,71	29,11	119,70	110,90	139,64	118,70	28,11	112,91	110,91	29,10	30,11	119,71	111,91	28,10	111,90
45,18	106,128	43,18	43,19	107,128	44,21	44,18	44,19	43,17	106,129	19,125	45,19	19,126	44,20	43,20	42,16	45,20	44,17	42,17	43,16
150,124	36,61	36,60	148,126	149,127	36,62	4,84	4,85	37,61	149,126	148,124	150,126	149,124	149,125	35,61	148,125	3,84	37,60	3,85	150,125
44,103	84,73	43,103	45,101	83,72	44,104	85,73	85,71	85,72	86,88	86,87	45,103	87,87	45,102	84,72	84,71	43,104	86,86	44,101	44,102
29,45	29,44	119,11	32,96	32,95	62,30	61,30	33,95	119,10	32,94	62,32	61,32	61,31	120,10	62,31	29,43	28,44	60,31	33,96	60,30
114,121	107,91	106,92	145,64	107,92	114,119	146,65	112,119	106,91	113,121	106,93	115,120	145,65	144,65	148,46	144,64	113,119	149,46	113,120	114,120
136,108	85,142	86,142	38,129	84,142	138,110	84,141	85,143	86,143	138,108	137,108	85,141	137,110	37,129	137,109	138,109	15,142	136,109	15,141	16,142
78,115	79,114	76,113	120,24	144,78	121,24	144,77	78,113	120,23	143,77	78,114	77,113	144,76	120,25	77,114	145,76	145,78	121,25	145,77	121,23
133,123	132,124	140,12	24,136	134,122	121,69	134,125	132,125	121,70	135,123	133,125	134,123	133,124	134,124	134,121	24,137	135,122	122,70	25,137	25,136
47,89	111,116	46,89	46,90	45,90	110,115	131,12	132,12	47,90	131,13	46,92	47,92	111,117	133,13	46,91	47,91	110,116	132,13	111,115	110,117
