150,150
121,21	56,126	121,22	55,126	142,42	58,129	141,40	120,21	55,125	59,130	142,41	54,126	105,138	141,41	140,42	141,42	59,129	140,41	58,130	120,22
20,3	91,115	90,50	22,2	22,3	92,116	89,51	18,2	22,4	92,115	0,142	89,50	20,2	90,51	21,2	91,116	21,3	19,1	20,1	19,2
145,35	146,106	145,36	72,109	71,109	146,105	146,104	100,108	144,36	100,107	99,108	71,108	145,106	72,108	146,35	145,105	99,107	147,105	146,36	145,37
133,65	77,98	34,101	78,98	134,65	134,67	133,67	134,66	133,66	135,67	34,100	77,97	144,14	78,97	135,66	144,13	33,101	135,65	33,100	32,100
57,77	134,1	122,83	123,84	121,84	135,2	55,76	133,1	56,78	55,77	56,77	55,78	122,84	56,76	54,77	123,83	134,2	121,83	133,2	57,78
105,100	3,118	69,15	107,102	68,15	3,117	2,118	106,101	2,117	107,101	67,15	108,103	107,103	106,100	107,100	106,102	108,100	105,101	108,102	68,14
37,29	103,91	37,28	38,29	103,15	104,16	101,91	103,90	104,15	103,16	101,90	102,91	104,91	103,92	38,28	38,27	102,90	37,27	39,29	39,28
149,50	4,67	148,51	22,18	21,17	148,50	148,52	5,67	149,53	21,18	5,66	149,52	147,51	147,52	146,50	147,50	4,66	148,53	146,51	149,51
12,137	12,138	40,49	7,67	82,35	7,68	11,137	12,136	13,137	42,50	82,37	41,50	13,138	41,49	40,50	11,138	81,35	81,36	82,34	82,36
59,38	136,149	136,150	109,112	58,38	106,125	107,124	110,113	59,37	111,112	58,37	110,112	109,113	107,125	110,114	137,150	111,113	106,124	135,150	108,125
