200,200
87,172	59,34	178,64	88,172	177,64	121,92	177,65	87,173	29,103	198,0	60,35	60,34	29,104	59,35	121,91	28,103	16,61	15,61	154,43	153,42	154,42	89,172	154,41	119,16	16,60	120,15	118,15	29,105	198,1	119,15
102,51	191,8	190,7	104,50	29,91	30,91	29,90	57,182	114,103	2,8	103,51	114,104	57,184	189,8	200,197	101,50	178,80	58,183	29,89	56,182	177,79	30,90	190,9	57,183	177,80	177,81	102,50	190,8	103,50	58,182
21,148	20,149	42,171	39,76	135,123	39,77	187,151	108,33	111,21	40,77	112,21	109,33	15,14	136,123	41,172	41,171	15,13	40,76	21,149	158,152	15,12	40,171	189,151	39,171	188,151	40,172	22,148	14,13	113,21	188,152
89,19	159,155	127,115	7,198	159,154	127,114	127,113	29,61	153,178	31,60	31,59	30,60	17,125	154,178	18,124	17,124	30,61	78,126	160,154	18,125	7,199	30,59	29,60	159,153	101,79	101,80	90,19	100,81	126,114	91,19
180,72	181,72	188,104	139,2	1,139	131,114	189,17	138,163	183,165	182,165	189,105	190,17	182,164	187,104	189,18	188,18	190,104	140,0	189,104	140,1	0,139	181,71	181,70	1,138	1,14	103,14	103,108	137,163	131,113	190,103
73,105	162,44	162,42	161,42	83,44	162,41	80,10	163,45	79,11	163,41	40,178	79,10	134,79	72,104	134,78	80,9	82,43	163,43	162,43	133,79	72,105	82,45	41,178	133,78	123,200	79,9	163,44	82,44	40,179	122,200
114,122	99,30	100,30	6,154	99,29	115,122	63,195	64,195	46,21	163,8	163,9	64,196	47,20	117,122	139,193	162,9	63,194	98,30	161,8	161,9	176,151	116,123	162,8	64,194	116,122	1,91	0,91	163,7	0,92	188,87
38,199	119,163	102,46	198,123	184,195	103,47	199,123	40,198	197,2	54,2	198,125	53,2	53,3	11,86	40,197	38,196	197,124	103,46	103,45	39,198	40,196	38,197	119,162	198,124	38,198	102,47	102,45	199,124	11,85	39,197
16,92	81,199	50,98	16,91	196,200	50,49	17,92	15,91	51,98	49,49	69,8	49,48	174,119	49,98	70,10	50,99	71,9	70,7	173,119	70,9	70,8	69,9	49,152	49,154	187,35	80,199	47,153	48,153	49,153	69,10
22,157	83,93	73,115	72,115	91,39	168,135	84,92	168,134	23,157	134,164	167,134	100,7	90,39	169,134	102,6	134,165	101,6	177,94	83,91	23,156	83,92	91,38	24,157	91,37	92,38	136,162	72,116	177,93	135,163	101,7
